time,frequency,confidence
2.450,213.298,0.000025
2.460,216.661,0.000206
2.470,218.316,0.001637
2.480,215.548,0.009200
2.490,216.932,0.010878
2.500,217.499,0.021065
2.510,218.542,0.012707
2.520,216.723,0.157688
2.530,220.273,0.094298
2.540,219.072,0.328402
2.550,220.415,0.469643
2.560,219.064,0.311835
2.570,216.877,0.259532
2.580,219.572,0.240486
2.590,220.670,0.438731
2.600,216.542,0.202812
2.610,202.035,0.348272
2.620,201.073,0.328389
2.630,200.804,0.210532
2.640,205.779,0.012353
2.650,216.422,0.002803
2.660,218.559,0.007725
2.670,220.114,0.010822
2.680,221.214,0.014104
2.690,221.394,0.230265
2.700,221.087,0.736222
2.710,221.612,0.863373
2.720,221.878,0.826960
2.730,220.374,0.517810
2.740,219.320,0.030546
2.750,208.227,0.013672
2.760,198.476,0.296986
2.770,224.587,0.123877
2.780,222.539,0.438214
2.790,224.567,0.242822
2.800,224.801,0.394657
2.810,222.896,0.419814
2.820,221.562,0.653060
2.830,220.742,0.358055
2.840,215.553,0.525248
2.850,215.119,0.374149
2.860,213.667,0.360075
2.870,218.442,0.423562
2.880,221.478,0.495750
2.890,221.107,0.700574
2.900,221.800,0.728757
2.910,221.483,0.263668
2.920,221.176,0.306079
2.930,199.995,0.440042
2.940,199.735,0.635377
2.950,197.995,0.648549
2.960,224.249,0.461475
2.970,227.227,0.424853
2.980,231.731,0.522558
2.990,224.118,0.404294
3.000,198.605,0.338339
3.010,200.185,0.351489
3.020,201.946,0.185974
3.030,199.280,0.310262
3.040,217.838,0.010142
3.050,223.885,0.004253
3.060,254.219,0.004800
3.070,265.005,0.519486
3.080,270.243,0.339757
3.090,254.325,0.013124
3.100,226.404,0.251279
3.110,220.662,0.011139
3.120,199.707,0.824902
3.130,199.541,0.791482
3.140,199.586,0.659916
3.150,201.168,0.199212
3.160,201.279,0.180507
3.170,218.821,0.140619
3.180,206.935,0.168769
3.190,208.798,0.144981
3.200,207.925,0.141189
3.210,208.883,0.141005
3.220,199.592,0.205506
3.230,201.513,0.018045
3.240,222.800,0.007801
3.250,225.078,0.364793
3.260,223.312,0.252806
3.270,201.502,0.181256
3.280,201.188,0.356966
3.290,200.610,0.458409
3.300,197.649,0.313940
3.310,196.124,0.052748
3.320,195.380,0.026019
3.330,197.518,0.147288
3.340,197.938,0.523922
3.350,198.620,0.534470
3.360,226.260,0.126630
3.370,227.851,0.596777
3.380,228.249,0.548732
3.390,220.258,0.194910
3.400,220.655,0.329627
3.410,219.203,0.226833
3.420,219.710,0.614994
3.430,219.260,0.597529
3.440,220.096,0.601565
3.450,219.929,0.678852
3.460,220.329,0.720167
3.470,220.437,0.717396
3.480,220.926,0.779776
3.490,219.489,0.628486
3.500,218.991,0.433527
3.510,242.779,0.011487
3.520,254.478,0.025065
3.530,269.928,0.003839
3.540,291.924,0.355765
3.550,291.607,0.478533
3.560,291.122,0.164849
3.570,293.483,0.087889
3.580,294.464,0.048775
3.590,294.253,0.046596
3.600,294.657,0.653278
3.610,292.854,0.437436
3.620,292.584,0.570998
3.630,293.306,0.113951
3.640,294.541,0.194957
3.650,295.240,0.106884
3.660,296.170,0.708255
3.670,295.389,0.343110
3.680,296.223,0.890841
3.690,295.438,0.824493
3.700,296.284,0.881071
3.710,295.665,0.879703
3.720,296.102,0.896531
3.730,295.604,0.889872
3.740,296.116,0.766461
3.750,295.841,0.738281
3.760,296.138,0.543284
3.770,296.028,0.456439
3.780,294.762,0.004657
3.790,281.497,0.000098
3.800,250.593,0.000089
3.810,248.618,0.000789
3.820,245.126,0.000006
3.830,225.155,0.000101
3.840,221.907,0.001503
3.850,200.516,0.000983
3.860,197.464,0.472053
3.870,201.405,0.340286
3.880,205.328,0.496005
3.890,207.287,0.615353
3.900,208.952,0.597984
3.910,210.530,0.566018
3.920,210.612,0.564501
3.930,212.412,0.413175
3.940,216.873,0.437581
3.950,219.448,0.602457
3.960,218.946,0.602107
3.970,217.879,0.407005
3.980,217.997,0.367252
3.990,217.699,0.352628
4.000,218.591,0.587780
4.010,218.369,0.587864
4.020,218.659,0.616337
4.030,221.778,0.558451
4.040,216.875,0.289909
4.050,220.191,0.712780
4.060,221.453,0.802290
4.070,225.210,0.761172
4.080,224.178,0.607779
4.090,221.027,0.320809
4.100,216.430,0.173337
4.110,210.372,0.489231
4.120,211.197,0.338839
4.130,210.117,0.614001
4.140,208.662,0.433624
4.150,200.442,0.391162
4.160,198.524,0.312421
4.170,226.329,0.281075
4.180,226.848,0.282008
4.190,226.063,0.527450
4.200,218.849,0.000157
4.210,214.928,0.000004
4.220,211.863,0.000222
4.230,199.285,0.005967
4.240,196.386,0.549724
4.250,196.517,0.021847
4.260,194.525,0.020692
4.270,198.215,0.757193
4.280,198.698,0.688927
4.290,200.099,0.453696
4.300,220.244,0.396832
4.310,221.120,0.587488
4.320,200.020,0.434413
4.330,201.031,0.455415
4.340,201.341,0.628630
4.350,202.706,0.662834
4.360,203.110,0.574721
4.370,203.219,0.472837
4.380,202.932,0.467499
4.390,201.630,0.559412
4.400,200.266,0.795897
4.410,198.930,0.866521
4.420,198.496,0.663851
4.430,198.294,0.721394
4.440,200.172,0.458195
4.450,199.869,0.690475
4.460,199.493,0.770143
4.470,198.432,0.730176
4.480,198.646,0.288757
4.490,199.456,0.339735
4.500,201.596,0.498298
4.510,199.560,0.730722
4.520,198.630,0.780472
4.530,198.067,0.619867
4.540,197.044,0.084489
4.550,197.983,0.313731
4.560,199.519,0.589462
4.570,199.646,0.694338
4.580,200.723,0.641136
4.590,199.746,0.677836
4.600,197.712,0.893490
4.610,197.033,0.812123
4.620,199.122,0.002947
4.630,214.739,0.000043
4.640,225.045,0.000033
4.650,242.877,0.000479
4.660,253.455,0.005079
4.670,256.258,0.073288
4.680,261.619,0.337320
4.690,277.277,0.010722
4.700,288.959,0.370317
4.710,261.901,0.171260
4.720,288.075,0.230789
4.730,266.120,0.285683
4.740,266.539,0.378477
4.750,264.033,0.646351
4.760,267.853,0.827138
4.770,266.808,0.432509
4.780,269.533,0.511255
4.790,262.797,0.493691
4.800,262.314,0.285558
4.810,251.941,0.001820
4.820,225.640,0.001682
4.830,218.851,0.005184
4.840,196.246,0.485566
4.850,197.644,0.793966
4.860,199.711,0.543451
4.870,204.809,0.182744
4.880,221.674,0.038229
4.890,242.659,0.267099
4.900,235.954,0.311460
4.910,240.462,0.241366
4.920,231.226,0.032328
4.930,217.903,0.026103
4.940,215.067,0.013929
4.950,199.523,0.182172
4.960,198.439,0.742569
4.970,195.567,0.798827
4.980,195.619,0.840449
4.990,198.251,0.882183
5.000,199.675,0.933742
5.010,199.315,0.923774
5.020,198.669,0.907582
5.030,198.677,0.905509
5.040,198.813,0.897801
5.050,199.024,0.859947
5.060,199.166,0.873656
5.070,199.046,0.895203
5.080,198.372,0.876713
5.090,198.409,0.896624
5.100,197.971,0.873579
5.110,198.734,0.778344
5.120,199.549,0.617857
5.130,200.891,0.235409
5.140,199.274,0.368804
5.150,198.648,0.288864
5.160,197.168,0.374232
5.170,198.544,0.029148
5.180,198.201,0.049898
5.190,197.410,0.549654
5.200,197.596,0.605465
5.210,196.459,0.129635
5.220,197.260,0.039667
5.230,199.264,0.178309
5.240,201.556,0.397261
5.250,199.536,0.750340
5.260,197.998,0.813076
5.270,196.841,0.642429
5.280,221.484,0.236818
5.290,223.104,0.371299
5.300,223.676,0.216636
5.310,241.736,0.130098
5.320,220.768,0.188051
5.330,242.996,0.002658
5.340,250.974,0.755069
5.350,259.541,0.381067
5.360,249.774,0.245101
5.370,233.454,0.011143
5.380,220.292,0.428727
5.390,218.737,0.113014
5.400,215.277,0.197633
5.410,217.493,0.188383
5.420,217.539,0.237053
5.430,217.942,0.318564
5.440,218.224,0.454164
5.450,218.104,0.383014
5.460,218.110,0.545689
5.470,218.425,0.458164
5.480,220.405,0.277725
5.490,197.234,0.310793
5.500,197.074,0.515179
5.510,197.350,0.184389
5.520,198.059,0.395988
5.530,198.343,0.598771
5.540,198.460,0.435330
5.550,204.503,0.002163
5.560,223.213,0.014142
5.570,227.041,0.000073
5.580,246.696,0.000021
5.590,259.012,0.000017
5.600,278.092,0.000033
5.610,293.330,0.000917
5.620,295.482,0.780302
5.630,295.254,0.880123
5.640,294.833,0.875005
5.650,294.553,0.706312
5.660,295.507,0.856179
5.670,296.045,0.836659
5.680,296.156,0.848296
5.690,296.103,0.868254
5.700,270.733,0.001548
5.710,248.484,0.004604
5.720,219.729,0.378248
5.730,220.513,0.453929
5.740,221.615,0.801934
5.750,221.363,0.380999
5.760,220.202,0.395421
5.770,218.530,0.384346
5.780,220.567,0.184218
5.790,232.161,0.268993
5.800,231.190,0.471568
5.810,231.018,0.707363
5.820,229.233,0.768572
5.830,228.288,0.771076
5.840,225.472,0.610320
5.850,224.067,0.350024
5.860,221.282,0.179211
5.870,221.243,0.226644
5.880,225.400,0.398222
5.890,225.945,0.315233
5.900,197.571,0.226080
5.910,199.885,0.233252
5.920,199.998,0.464451
5.930,201.644,0.509854
5.940,203.622,0.363695
5.950,206.206,0.248149
5.960,208.711,0.177179
5.970,217.841,0.278322
5.980,218.479,0.408639
5.990,213.010,0.474035
6.000,212.663,0.520551
6.010,211.916,0.395504
6.020,212.732,0.409145
6.030,215.732,0.307966
6.040,220.179,0.449415
6.050,220.220,0.424253
6.060,221.199,0.556273
6.070,221.505,0.343755
6.080,214.728,0.014854
6.090,199.276,0.622730
6.100,199.499,0.506469
