time,frequency,confidence
2.450,333.649,0.417779
2.460,333.645,0.479147
2.470,335.208,0.640406
2.480,335.341,0.776885
2.490,336.147,0.867334
2.500,336.390,0.879544
2.510,336.919,0.847039
2.520,337.052,0.699810
2.530,336.798,0.781224
2.540,336.481,0.851380
2.550,336.868,0.946782
2.560,337.815,0.968348
2.570,338.276,0.972325
2.580,338.572,0.968737
2.590,338.382,0.971964
2.600,337.746,0.962067
2.610,335.993,0.795930
2.620,333.433,0.645874
2.630,332.860,0.609932
2.640,332.751,0.245496
2.650,332.815,0.325665
2.660,332.627,0.467596
2.670,331.360,0.285116
2.680,330.050,0.472696
2.690,330.797,0.321684
2.700,329.308,0.333491
2.710,269.371,0.346403
2.720,329.560,0.445501
2.730,330.545,0.409781
2.740,270.568,0.684636
2.750,271.379,0.503049
2.760,330.363,0.326561
2.770,330.915,0.426700
2.780,332.530,0.424569
2.790,332.925,0.392437
2.800,270.731,0.380195
2.810,332.019,0.359172
2.820,539.888,0.363376
2.830,334.039,0.342698
2.840,334.765,0.534458
2.850,335.470,0.787850
2.860,335.999,0.890005
2.870,335.896,0.874968
2.880,336.371,0.929239
2.890,336.724,0.948533
2.900,336.846,0.955067
2.910,336.858,0.951920
2.920,337.355,0.969272
2.930,337.326,0.966647
2.940,337.121,0.966511
2.950,337.473,0.970377
2.960,337.764,0.974240
2.970,338.135,0.977510
2.980,338.511,0.977670
2.990,338.324,0.979725
3.000,338.101,0.981994
3.010,337.674,0.976732
3.020,337.277,0.965655
3.030,338.413,0.975770
3.040,337.679,0.972934
3.050,337.794,0.977062
3.060,338.282,0.977187
3.070,337.506,0.971660
3.080,337.344,0.967343
3.090,338.090,0.974389
3.100,337.298,0.963194
3.110,337.785,0.970266
3.120,337.158,0.967934
3.130,336.162,0.940059
3.140,336.285,0.911225
3.150,334.977,0.731720
3.160,334.188,0.654359
3.170,334.473,0.598406
3.180,402.549,0.435787
3.190,334.278,0.632592
3.200,334.429,0.530019
3.210,402.259,0.843013
3.220,404.082,0.608629
3.230,403.317,0.730086
3.240,403.394,0.691375
3.250,403.586,0.519737
3.260,335.076,0.562161
3.270,402.147,0.550198
3.280,336.239,0.825020
3.290,336.152,0.754689
3.300,403.497,0.680539
3.310,404.319,0.792567
3.320,405.881,0.627557
3.330,404.885,0.837415
3.340,405.154,0.686018
3.350,335.200,0.538539
3.360,405.681,0.624823
3.370,405.937,0.548949
3.380,333.889,0.395348
3.390,405.030,0.546334
3.400,405.888,0.316626
3.410,268.959,0.337682
3.420,268.197,0.334872
3.430,336.824,0.256987
3.440,338.303,0.422890
3.450,269.759,0.317859
3.460,270.127,0.397908
3.470,270.293,0.558550
3.480,270.487,0.767623
3.490,270.022,0.754807
3.500,269.660,0.778724
3.510,269.777,0.824838
3.520,269.609,0.800406
3.530,269.328,0.557729
3.540,269.667,0.383371
3.550,270.023,0.594460
3.560,269.462,0.659678
3.570,269.606,0.399015
3.580,270.014,0.390349
3.590,335.102,0.257129
3.600,337.117,0.682217
3.610,337.350,0.677874
3.620,335.016,0.472458
3.630,336.922,0.672674
3.640,337.394,0.524012
3.650,336.839,0.519922
3.660,338.157,0.633230
3.670,338.036,0.751797
3.680,336.990,0.340751
3.690,338.018,0.641751
3.700,338.428,0.757518
3.710,336.848,0.310578
3.720,338.864,0.678360
3.730,338.690,0.750448
3.740,337.951,0.638749
3.750,338.305,0.632760
3.760,338.813,0.477969
3.770,269.842,0.315419
3.780,269.084,0.230742
3.790,268.891,0.251404
3.800,268.903,0.377140
3.810,338.751,0.243466
3.820,338.885,0.637324
3.830,337.212,0.325360
3.840,337.413,0.525576
3.850,338.585,0.529712
3.860,336.873,0.290090
3.870,337.463,0.610291
3.880,337.788,0.708430
3.890,337.129,0.707687
3.900,337.204,0.737687
3.910,338.101,0.836416
3.920,336.909,0.768539
3.930,337.092,0.831505
3.940,338.390,0.911017
3.950,337.358,0.906800
3.960,337.435,0.886402
3.970,338.500,0.929980
3.980,338.025,0.924594
3.990,337.358,0.878885
4.000,338.192,0.914959
4.010,338.073,0.913322
4.020,337.342,0.877877
4.030,338.024,0.906529
4.040,338.289,0.895637
4.050,337.641,0.888572
4.060,337.400,0.882936
4.070,337.581,0.895483
4.080,337.116,0.813063
4.090,337.461,0.868793
4.100,337.740,0.878289
4.110,337.829,0.931844
4.120,337.783,0.933849
4.130,338.500,0.947770
4.140,337.865,0.934807
4.150,337.344,0.904747
4.160,336.960,0.900231
4.170,337.570,0.935857
4.180,337.050,0.903573
4.190,336.974,0.918359
4.200,336.555,0.915030
4.210,336.720,0.919115
4.220,336.847,0.924549
4.230,336.185,0.891276
4.240,335.945,0.877990
4.250,336.423,0.899081
4.260,336.315,0.859964
4.270,336.388,0.842472
4.280,336.956,0.844557
4.290,336.312,0.729332
4.300,336.625,0.734096
4.310,336.778,0.824269
4.320,336.427,0.787291
4.330,336.802,0.846810
4.340,336.698,0.875623
4.350,336.948,0.881390
4.360,336.843,0.881825
4.370,337.188,0.914966
4.380,337.194,0.917114
4.390,337.503,0.937304
4.400,337.339,0.928820
4.410,337.639,0.934346
4.420,337.699,0.925531
4.430,337.848,0.924999
4.440,338.265,0.899567
4.450,338.233,0.913333
4.460,337.961,0.856535
4.470,337.885,0.851912
4.480,338.130,0.692524
4.490,337.681,0.569910
4.500,302.320,0.359408
4.510,302.705,0.298257
4.520,303.417,0.329165
4.530,269.519,0.477280
4.540,269.063,0.475185
4.550,269.174,0.529063
4.560,268.862,0.689537
4.570,268.780,0.507998
4.580,332.328,0.575201
4.590,332.694,0.686033
4.600,333.138,0.648408
4.610,333.224,0.626872
4.620,333.059,0.588556
4.630,333.493,0.471767
4.640,333.299,0.600440
4.650,333.232,0.579050
4.660,333.379,0.642886
4.670,333.325,0.478668
4.680,333.001,0.588140
4.690,403.039,0.668554
4.700,403.605,0.576500
4.710,403.942,0.389518
4.720,403.754,0.671957
4.730,404.413,0.363375
4.740,403.634,0.450338
4.750,332.793,0.419836
4.760,334.403,0.476702
4.770,335.419,0.719731
4.780,336.404,0.633214
4.790,336.537,0.838951
4.800,337.362,0.794461
4.810,338.255,0.804055
4.820,338.136,0.875292
4.830,338.296,0.883972
4.840,338.606,0.845495
4.850,337.925,0.626852
4.860,338.332,0.639753
4.870,338.635,0.554255
4.880,338.526,0.706556
4.890,338.548,0.289311
4.900,338.699,0.684422
4.910,338.956,0.798982
4.920,338.617,0.726565
4.930,338.578,0.803492
4.940,338.490,0.816198
4.950,338.357,0.793174
4.960,338.149,0.779574
4.970,338.435,0.901333
4.980,337.374,0.868139
4.990,337.386,0.803040
5.000,337.148,0.738010
5.010,335.811,0.619233
5.020,333.109,0.318907
5.030,332.179,0.280860
5.040,270.836,0.352502
5.050,270.527,0.366791
5.060,269.970,0.718574
5.070,269.954,0.367867
5.080,332.328,0.267004
5.090,806.924,0.274954
5.100,806.670,0.328933
5.110,333.090,0.440371
5.120,332.875,0.357437
5.130,269.941,0.687381
5.140,270.166,0.888770
5.150,269.940,0.909128
5.160,269.658,0.892540
5.170,269.473,0.899674
5.180,269.678,0.879577
5.190,269.892,0.904868
5.200,269.896,0.901228
5.210,269.846,0.897732
5.220,270.012,0.906131
5.230,270.000,0.904729
5.240,270.402,0.907876
5.250,269.895,0.889206
5.260,270.110,0.916244
5.270,270.434,0.933731
5.280,270.021,0.907144
5.290,269.605,0.906846
5.300,269.709,0.905175
5.310,269.416,0.908641
5.320,269.107,0.926220
5.330,269.262,0.900592
5.340,269.480,0.873808
5.350,269.251,0.908156
5.360,268.979,0.914207
5.370,268.799,0.899497
5.380,268.819,0.921587
5.390,268.853,0.930687
5.400,268.908,0.918555
5.410,268.894,0.897487
5.420,268.855,0.897601
5.430,268.984,0.882584
5.440,268.788,0.869366
5.450,268.889,0.850254
5.460,268.963,0.840127
5.470,268.806,0.834835
5.480,268.843,0.789636
5.490,268.830,0.750944
5.500,268.955,0.676382
5.510,268.843,0.509531
5.520,404.750,0.503844
5.530,404.435,0.563867
5.540,404.681,0.609620
5.550,404.699,0.505257
5.560,268.916,0.681283
5.570,268.865,0.653425
5.580,269.008,0.643409
5.590,268.965,0.788425
5.600,269.195,0.775144
5.610,269.543,0.727895
5.620,269.341,0.773571
5.630,269.533,0.749296
5.640,269.699,0.734265
5.650,269.519,0.774512
5.660,269.647,0.741953
5.670,269.727,0.768892
5.680,269.871,0.830611
5.690,269.911,0.854994
5.700,269.857,0.878519
5.710,269.641,0.876979
5.720,269.876,0.864341
5.730,269.390,0.875600
5.740,269.525,0.831702
5.750,269.379,0.817235
5.760,269.566,0.868623
5.770,269.698,0.863847
5.780,269.787,0.883082
5.790,269.659,0.891129
5.800,269.776,0.854249
5.810,268.954,0.862334
5.820,269.068,0.832878
5.830,268.900,0.818624
5.840,268.592,0.837000
5.850,268.343,0.853403
5.860,267.862,0.689343
5.870,268.628,0.583936
5.880,269.137,0.415813
5.890,202.513,0.190127
5.900,202.532,0.339426
5.910,202.533,0.392628
5.920,202.232,0.377417
5.930,202.135,0.465164
5.940,202.079,0.458973
5.950,201.813,0.502610
5.960,201.776,0.466449
5.970,202.234,0.353300
5.980,202.061,0.244756
5.990,304.753,0.257564
6.000,271.147,0.568332
6.010,270.184,0.599199
6.020,270.461,0.446503
6.030,270.618,0.531537
6.040,270.568,0.362118
6.050,270.060,0.268349
6.060,269.886,0.286876
6.070,269.864,0.543799
6.080,270.289,0.280324
6.090,811.342,0.140551
6.100,811.950,0.269726
6.110,202.080,0.389172
6.120,202.270,0.189727
6.130,305.943,0.235227
6.140,307.332,0.175223
6.150,308.720,0.163984
6.160,405.146,0.216223
6.170,338.259,0.233535
6.180,405.156,0.155344
6.190,339.925,0.278400
6.200,405.748,0.286770
6.210,339.157,0.239938
6.220,339.198,0.209447
6.230,341.303,0.305943
6.240,338.010,0.325633
6.250,337.820,0.426676
6.260,339.929,0.609785
6.270,340.725,0.420624
6.280,339.756,0.280134
6.290,338.736,0.209848
6.300,307.786,0.332855
6.310,309.860,0.258758
6.320,308.565,0.315831
6.330,334.604,0.239213
6.340,336.506,0.211603
6.350,334.133,0.260080
6.360,335.923,0.277224
6.370,335.665,0.268397
6.380,334.045,0.232244
6.390,405.263,0.354885
6.400,405.541,0.216522
6.410,405.683,0.182132
6.420,404.927,0.583900
6.430,311.169,0.182902
6.440,405.698,0.198910
6.450,405.567,0.378821
6.460,406.483,0.383525
6.470,406.265,0.229826
6.480,405.842,0.209281
6.490,311.496,0.167846
6.500,269.336,0.220093
6.510,269.782,0.215154
6.520,268.967,0.496436
6.530,268.674,0.665078
6.540,268.661,0.423060
6.550,268.408,0.200663
6.560,308.067,0.362360
6.570,308.638,0.345806
6.580,307.821,0.465367
6.590,308.279,0.272581
6.600,307.929,0.336842
6.610,307.713,0.223339
6.620,405.765,0.189418
6.630,269.288,0.236690
6.640,269.027,0.185989
6.650,269.459,0.369156
6.660,269.556,0.513211
6.670,306.732,0.385205
6.680,269.748,0.516378
6.690,307.339,0.410385
6.700,306.949,0.310461
6.710,307.865,0.349339
6.720,269.940,0.508659
6.730,269.909,0.706659
6.740,270.088,0.559477
6.750,270.086,0.854287
6.760,270.260,0.859564
6.770,269.846,0.854340
6.780,269.910,0.920648
6.790,269.945,0.914762
6.800,270.309,0.932049
6.810,270.602,0.948301
6.820,270.439,0.908577
6.830,270.408,0.905854
6.840,270.175,0.877773
6.850,270.429,0.874736
6.860,270.002,0.855454
6.870,270.255,0.877880
6.880,270.239,0.873606
6.890,269.925,0.902111
6.900,269.952,0.902328
6.910,270.121,0.896745
6.920,269.992,0.911757
6.930,270.299,0.910122
6.940,270.469,0.927072
6.950,270.464,0.924199
6.960,270.485,0.926619
6.970,270.472,0.928178
6.980,270.510,0.929674
6.990,270.522,0.921306
7.000,270.573,0.928671
7.010,270.559,0.914266
7.020,270.699,0.887487
7.030,270.937,0.838367
7.040,270.995,0.830174
7.050,271.140,0.853703
7.060,270.889,0.836728
7.070,270.584,0.816026
7.080,270.456,0.729577
7.090,270.129,0.689656
7.100,270.029,0.686800
7.110,269.786,0.666613
7.120,269.461,0.689410
7.130,269.539,0.736967
7.140,269.448,0.747020
7.150,269.386,0.740531
7.160,269.620,0.795706
7.170,269.530,0.756940
7.180,269.312,0.814971
7.190,269.484,0.829357
7.200,269.153,0.848706
7.210,269.383,0.854731
7.220,269.159,0.872772
7.230,269.162,0.870992
7.240,269.627,0.794320
7.250,268.778,0.797268
7.260,268.611,0.579014
7.270,330.021,0.219568
7.280,537.626,0.380247
7.290,331.494,0.490683
7.300,330.955,0.408572
7.310,269.006,0.317512
7.320,334.192,0.330631
7.330,268.698,0.541715
7.340,268.611,0.595333
7.350,267.915,0.401967
7.360,329.240,0.372715
7.370,269.521,0.468414
7.380,270.604,0.542626
7.390,269.790,0.443817
7.400,268.562,0.221824
7.410,336.412,0.296563
7.420,333.040,0.360944
7.430,330.852,0.518292
7.440,268.569,0.195163
7.450,269.489,0.270112
7.460,268.878,0.161644
7.470,268.557,0.299475
7.480,268.598,0.205609
7.490,268.689,0.209039
7.500,203.071,0.193233
7.510,203.888,0.135185
7.520,201.442,0.291668
7.530,203.072,0.184938
7.540,203.135,0.183038
7.550,341.956,0.116620
7.560,267.901,0.325571
